task,contrast,encounter,mean_isc,n_pairs,aligned
shapeMatching,task-baseline,2,0.18264381505090918,10,raw
shapeMatching,task-baseline,3,0.2310266796258186,10,raw
shapeMatching,task-baseline,4,0.16803608957997498,10,raw
shapeMatching,task-baseline,5,0.11725520269298817,6,raw
shapeMatching,response_time,1,0.41220715724540336,10,raw
shapeMatching,response_time,2,0.1671836138460961,10,raw
shapeMatching,response_time,3,0.30154582908168737,10,raw
shapeMatching,response_time,4,0.30093792559479093,10,raw
shapeMatching,response_time,5,0.07395568356070599,6,raw
stopSignal,go,1,0.5201149798665575,10,raw
stopSignal,go,2,0.4914628433679155,10,raw
stopSignal,go,3,0.3532089979056431,10,raw
stopSignal,go,4,0.4435223048748041,10,raw
stopSignal,go,5,0.41485107925007714,10,raw
stopSignal,stop_failure-go,1,0.4448380230240364,10,raw
stopSignal,stop_failure-go,2,0.5022583303201045,10,raw
stopSignal,stop_failure-go,3,0.18107434321228558,10,raw
stopSignal,stop_failure-go,4,0.3651355827065085,10,raw
stopSignal,stop_failure-go,5,0.49625316411256576,10,raw
stopSignal,stop_failure,1,0.5351509760177382,10,raw
stopSignal,stop_failure,2,0.5720863727684726,10,raw
stopSignal,stop_failure,3,0.36375520443624365,10,raw
stopSignal,stop_failure,4,0.3990010525446724,10,raw
stopSignal,stop_failure,5,0.403571886171203,10,raw
stopSignal,stop_failure-stop_success,1,0.20692545281977193,10,raw
stopSignal,stop_failure-stop_success,2,0.06676270501601886,10,raw
stopSignal,stop_failure-stop_success,3,0.0683403227472158,10,raw
stopSignal,stop_failure-stop_success,4,0.05196524554546196,10,raw
stopSignal,stop_failure-stop_success,5,0.35295685387972636,10,raw
stopSignal,stop_success-go,1,0.468448527897155,10,raw
stopSignal,stop_success-go,2,0.5029403397604814,10,raw
stopSignal,stop_success-go,3,0.2585051846118739,10,raw
stopSignal,stop_success-go,4,0.3608887115834133,10,raw
stopSignal,stop_success-go,5,0.3386803353343753,10,raw
stopSignal,stop_success,1,0.5260289811545025,10,raw
stopSignal,stop_success,2,0.45648366210023666,10,raw
stopSignal,stop_success,3,0.28695059054618505,10,raw
stopSignal,stop_success,4,0.3140147491564528,10,raw
stopSignal,stop_success,5,0.25032132302350985,10,raw
stopSignal,stop_success-stop_failure,1,0.20692545281977193,10,raw
stopSignal,stop_success-stop_failure,2,0.06676270501601886,10,raw
stopSignal,stop_success-stop_failure,3,0.0683403227472158,10,raw
stopSignal,stop_success-stop_failure,4,0.05196524554546196,10,raw
stopSignal,stop_success-stop_failure,5,0.35295685387972636,10,raw
stopSignal,task-baseline,1,0.5521575496183887,10,raw
stopSignal,task-baseline,2,0.5289831792796418,10,raw
stopSignal,task-baseline,3,0.3660984298723226,10,raw
stopSignal,task-baseline,4,0.40414639893395987,10,raw
stopSignal,task-baseline,5,0.3471424756079432,10,raw
cuedTS,cue_switch_cost,1,-0.05454138695421812,10,raw
cuedTS,cue_switch_cost,2,0.08321563668760167,10,raw
cuedTS,cue_switch_cost,3,0.02110957761963143,10,raw
cuedTS,cue_switch_cost,4,0.0514053612436442,10,raw
cuedTS,cue_switch_cost,5,-0.1277286237742469,3,raw
cuedTS,task_switch_cost,1,0.048043376877287755,10,raw
cuedTS,task_switch_cost,2,-0.05363698199135077,10,raw
cuedTS,task_switch_cost,3,0.026064338910652823,10,raw
cuedTS,task_switch_cost,4,0.05376958529434489,10,raw
cuedTS,task_switch_cost,5,0.007987699639255736,3,raw
cuedTS,task_switch_cue_switch-task_stay_cue_stay,1,0.030564525897209482,10,raw
cuedTS,task_switch_cue_switch-task_stay_cue_stay,2,0.14026582873857746,10,raw
cuedTS,task_switch_cue_switch-task_stay_cue_stay,3,-0.005702577884132897,10,raw
cuedTS,task_switch_cue_switch-task_stay_cue_stay,4,0.004152665116010327,10,raw
cuedTS,task_switch_cue_switch-task_stay_cue_stay,5,-0.04150728429998882,3,raw
cuedTS,task-baseline,1,0.0611187573778198,10,raw
cuedTS,task-baseline,2,0.23089275046948368,10,raw
cuedTS,task-baseline,3,0.15705654414112125,10,raw
cuedTS,task-baseline,4,0.20147430443722572,10,raw
cuedTS,task-baseline,5,0.32481355964617725,3,raw
cuedTS,response_time,1,0.260219679097559,10,raw
cuedTS,response_time,2,0.41158743030839895,10,raw
cuedTS,response_time,3,0.4199225559663418,10,raw
cuedTS,response_time,4,0.26217942036400477,10,raw
cuedTS,response_time,5,0.47457328662156373,3,raw
spatialTS,cue_switch_cost,1,0.04917998101750121,10,raw
spatialTS,cue_switch_cost,2,-0.006704772572355094,10,raw
spatialTS,cue_switch_cost,3,0.03776088666288544,10,raw
spatialTS,cue_switch_cost,4,0.06615721455561166,10,raw
spatialTS,cue_switch_cost,5,0.08252203513554088,10,raw
spatialTS,task_switch_cost,1,0.09007210113515637,10,raw
spatialTS,task_switch_cost,2,0.17955860397021994,10,raw
spatialTS,task_switch_cost,3,0.13614136823298778,10,raw
spatialTS,task_switch_cost,4,0.05990206946972434,10,raw
spatialTS,task_switch_cost,5,-0.008432305041654148,10,raw
spatialTS,task_switch_cue_switch-task_stay_cue_stay,1,0.19743436249793628,10,raw
spatialTS,task_switch_cue_switch-task_stay_cue_stay,2,0.10692998904534734,10,raw
spatialTS,task_switch_cue_switch-task_stay_cue_stay,3,0.09254887857812213,10,raw
spatialTS,task_switch_cue_switch-task_stay_cue_stay,4,0.27082865373467296,10,raw
spatialTS,task_switch_cue_switch-task_stay_cue_stay,5,0.08334055313207137,10,raw
spatialTS,task-baseline,1,0.43631474586321933,10,raw
spatialTS,task-baseline,2,0.292315133041191,10,raw
spatialTS,task-baseline,3,0.1533210607790759,10,raw
spatialTS,task-baseline,4,0.2132155663645258,10,raw
spatialTS,task-baseline,5,0.27809670781077395,10,raw
spatialTS,response_time,1,0.40160302656482083,10,raw
spatialTS,response_time,2,0.2509552838846688,10,raw
spatialTS,response_time,3,0.1768820719215266,10,raw
spatialTS,response_time,4,0.2467531934539894,10,raw
spatialTS,response_time,5,0.3796099998946386,10,raw
nBack,twoBack-oneBack,1,0.30034839305820854,10,aligned
nBack,twoBack-oneBack,2,0.22073283630575613,10,aligned
nBack,twoBack-oneBack,3,0.4527339591200031,10,aligned
nBack,twoBack-oneBack,4,0.2669355697943323,10,aligned
nBack,twoBack-oneBack,5,0.37081751521183604,10,aligned
nBack,match-mismatch,1,0.42840276479028716,10,aligned
nBack,match-mismatch,2,0.5548938669633579,10,aligned
nBack,match-mismatch,3,0.49550725608610946,10,aligned
nBack,match-mismatch,4,0.43209578435840956,10,aligned
nBack,match-mismatch,5,0.3965403964091687,10,aligned
nBack,task-baseline,1,0.4288162989336093,10,aligned
nBack,task-baseline,2,0.48358242472277724,10,aligned
nBack,task-baseline,3,0.4433036625998333,10,aligned
nBack,task-baseline,4,0.41480169623453583,10,aligned
