encounter,mean_accuracy,std_accuracy,label
1,0.3,0.14317821063276354,raw
2,0.22999999999999998,0.0696419413859206,raw
3,0.25,0.06519202405202648,raw
4,0.195,0.04582575694955841,raw
5,0.2327972972972973,0.02856155808842151,raw
1,0.51,0.12509996003196802,aligned
2,0.5299999999999999,0.10416333327999827,aligned
3,0.5650000000000001,0.09949874371066199,aligned
4,0.55,0.02738612787525829,aligned
5,0.45474999999999993,0.07078251317188225,aligned
