  sub-s19 | stopSignal | stop_failure-go: 5 encounters
  sub-s29 | stopSignal | stop_failure-go: 5 encounters
  sub-s43 | stopSignal | stop_failure-go: 5 encounters
  sub-s03 | stopSignal | stop_failure: 5 encounters
  sub-s10 | stopSignal | stop_failure: 5 encounters
  sub-s19 | stopSignal | stop_failure: 5 encounters
  sub-s29 | stopSignal | stop_failure: 5 encounters
  sub-s43 | stopSignal | stop_failure: 5 encounters
  sub-s03 | stopSignal | stop_failure-stop_success: 5 encounters
  sub-s10 | stopSignal | stop_failure-stop_success: 5 encounters
  sub-s19 | stopSignal | stop_failure-stop_success: 5 encounters
  sub-s29 | stopSignal | stop_failure-stop_success: 5 encounters
  sub-s43 | stopSignal | stop_failure-stop_success: 5 encounters
  sub-s03 | stopSignal | stop_success-go: 5 encounters
  sub-s10 | stopSignal | stop_success-go: 5 encounters
  sub-s19 | stopSignal | stop_success-go: 5 encounters
  sub-s29 | stopSignal | stop_success-go: 5 encounters
  sub-s43 | stopSignal | stop_success-go: 5 encounters
  sub-s03 | stopSignal | stop_success: 5 encounters
  sub-s10 | stopSignal | stop_success: 5 encounters
  sub-s19 | stopSignal | stop_success: 5 encounters
  sub-s29 | stopSignal | stop_success: 5 encounters
  sub-s43 | stopSignal | stop_success: 5 encounters
  sub-s03 | stopSignal | stop_success-stop_failure: 5 encounters
  sub-s10 | stopSignal | stop_success-stop_failure: 5 encounters
  sub-s19 | stopSignal | stop_success-stop_failure: 5 encounters
  sub-s29 | stopSignal | stop_success-stop_failure: 5 encounters
  sub-s43 | stopSignal | stop_success-stop_failure: 5 encounters
  sub-s03 | stopSignal | task-baseline: 5 encounters
  sub-s10 | stopSignal | task-baseline: 5 encounters
  sub-s19 | stopSignal | task-baseline: 5 encounters
  sub-s29 | stopSignal | task-baseline: 5 encounters
  sub-s43 | stopSignal | task-baseline: 5 encounters
  MISSING: sub-s03 | stopSignal | response_time
  MISSING: sub-s10 | stopSignal | response_time
  MISSING: sub-s19 | stopSignal | response_time
  MISSING: sub-s29 | stopSignal | response_time
  MISSING: sub-s43 | stopSignal | response_time
  sub-s03 | cuedTS | cue_switch_cost: 5 encounters
  sub-s10 | cuedTS | cue_switch_cost: 4 encounters
  sub-s19 | cuedTS | cue_switch_cost: 5 encounters
  sub-s29 | cuedTS | cue_switch_cost: 4 encounters
  sub-s43 | cuedTS | cue_switch_cost: 5 encounters
  sub-s03 | cuedTS | task_switch_cost: 5 encounters
  sub-s10 | cuedTS | task_switch_cost: 4 encounters
  sub-s19 | cuedTS | task_switch_cost: 5 encounters
  sub-s29 | cuedTS | task_switch_cost: 4 encounters
  sub-s43 | cuedTS | task_switch_cost: 5 encounters
  sub-s03 | cuedTS | task_switch_cue_switch-task_stay_cue_stay: 5 encounters
  sub-s10 | cuedTS | task_switch_cue_switch-task_stay_cue_stay: 4 encounters
  sub-s19 | cuedTS | task_switch_cue_switch-task_stay_cue_stay: 5 encounters
  sub-s29 | cuedTS | task_switch_cue_switch-task_stay_cue_stay: 4 encounters
  sub-s43 | cuedTS | task_switch_cue_switch-task_stay_cue_stay: 5 encounters
  sub-s03 | cuedTS | task-baseline: 5 encounters
  sub-s10 | cuedTS | task-baseline: 4 encounters
  sub-s19 | cuedTS | task-baseline: 5 encounters
  sub-s29 | cuedTS | task-baseline: 4 encounters
  sub-s43 | cuedTS | task-baseline: 5 encounters
  sub-s03 | cuedTS | response_time: 5 encounters
  sub-s10 | cuedTS | response_time: 4 encounters
  sub-s19 | cuedTS | response_time: 5 encounters
  sub-s29 | cuedTS | response_time: 4 encounters
  sub-s43 | cuedTS | response_time: 5 encounters
  sub-s03 | spatialTS | cue_switch_cost: 5 encounters
  sub-s10 | spatialTS | cue_switch_cost: 5 encounters
  sub-s19 | spatialTS | cue_switch_cost: 5 encounters
  sub-s29 | spatialTS | cue_switch_cost: 5 encounters
  sub-s43 | spatialTS | cue_switch_cost: 5 encounters
  sub-s03 | spatialTS | task_switch_cost: 5 encounters
  sub-s10 | spatialTS | task_switch_cost: 5 encounters
  sub-s19 | spatialTS | task_switch_cost: 5 encounters
  sub-s29 | spatialTS | task_switch_cost: 5 encounters
  sub-s43 | spatialTS | task_switch_cost: 5 encounters
  sub-s03 | spatialTS | task_switch_cue_switch-task_stay_cue_stay: 5 encounters
  sub-s10 | spatialTS | task_switch_cue_switch-task_stay_cue_stay: 5 encounters
  sub-s19 | spatialTS | task_switch_cue_switch-task_stay_cue_stay: 5 encounters
  sub-s29 | spatialTS | task_switch_cue_switch-task_stay_cue_stay: 5 encounters
  sub-s43 | spatialTS | task_switch_cue_switch-task_stay_cue_stay: 5 encounters
  sub-s03 | spatialTS | task-baseline: 5 encounters
  sub-s10 | spatialTS | task-baseline: 5 encounters
  sub-s19 | spatialTS | task-baseline: 5 encounters
  sub-s29 | spatialTS | task-baseline: 5 encounters
  sub-s43 | spatialTS | task-baseline: 5 encounters
  sub-s03 | spatialTS | response_time: 5 encounters
  sub-s10 | spatialTS | response_time: 5 encounters
  sub-s19 | spatialTS | response_time: 5 encounters
  sub-s29 | spatialTS | response_time: 5 encounters
  sub-s43 | spatialTS | response_time: 5 encounters
Shared (task, contrast, encounter) tuples across all subjects: 159
Saved score NIfTIs to /oak/stanford/groups/russpold/users/nklevak/network_second_modeling/prelim_discovery_analysis/hyperalignment_fmralign_results/discovery_sample/ward_500pieces
Saved plots to /oak/stanford/groups/russpold/users/nklevak/network_second_modeling/prelim_discovery_analysis/hyperalignment_fmralign_results/discovery_sample/ward_500pieces
Saved alignment estimators to /oak/stanford/groups/russpold/users/nklevak/network_second_modeling/prelim_discovery_analysis/hyperalignment_fmralign_results/discovery_sample/ward_500pieces
